,Anho,Mes,Identificador,TotalRegistros
259,2021,11,202111,9094
260,2021,12,202112,1193
261,2022,1,202201,1617
262,2022,2,202202,2034
263,2022,3,202203,7389
264,2022,4,202204,34283
265,2022,5,202205,48254
266,2022,6,202206,58012
267,2022,7,202207,67374
268,2022,8,202208,85842
269,2022,9,202209,66196
270,2022,10,202210,51356
271,2022,11,202211,11283
272,2022,12,202212,4683
